station_european_code	station_local_code	country_iso_code	country_name	station_name	station_start_date	station_end_date	type_of_station	station_ozone_classification	station_type_of_area	station_subcat_rural_back	street_type	station_longitude_deg	station_latitude_deg	station_altitude	station_city	lau_level1_code	lau_level2_code	lau_level2_name	EMEP_station
AT30201	030201	AT	Austria	Bad Vöslau - Gainfarn	1992-10-01		Background	rural	suburban		Unknown	16.206951	47.959999	286	BAD VÖSLAU		30603	Bad Vöslau	no
AT31406	031406	AT	Austria	Biedermannsdorf Mühlengasse	2007-02-15		Traffic	suburban	suburban	near city	Highway: average speed vehicles > 80 km/h	16.337223	48.083332	188	BIEDERMANNSDORF				no
AT31496	031496	AT	Austria	Biedermannsdorf Sportplatz	1996-05-10	2007-02-15	Background		rural	near city		16.348612	48.081112	180	BIEDERMANNSDORF				no
AT2VK26	02VK26	AT	Austria	Bleiburg Koschatstrasse	1991-10-01	2011-12-31	Background	rural	rural	unknown	Unknown	14.795011	46.585556	480	BLEIBURG				no
AT82708	082708	AT	Austria	Bludenz Herrengasse	2003-11-29		Background	suburban	suburban		Canyon street: L/H < 1.5	9.827230	47.156113	580	BLUDENZ		80103	Bludenz	no
AT82707	82707	AT	Austria	Bludenz Rathaus	1986-12-01	2003-11-28	Background		urban		Unknown	9.819725	47.156944	580	BLUDENZ		80103	Bludenz	no
AT60151	06151	AT	Austria	Bockberg	1985-01-01		Background	rural	rural	regional	Unknown	15.495011	46.873055	449			61047	Wildon	no
AT4S410	S410	AT	Austria	Braunau Lach	1987-07-01	1999-09-30	Traffic		rural		Wide street: L/H > 1.5	13.051403	48.246666	363	BRAUNAU		40404	Braunau am Inn	no
AT4S156	04S156	AT	Austria	Braunau Zentrum	1999-10-01		Background	suburban	suburban		Wide street: L/H > 1.5	13.040006	48.258335	350	BRAUNAU		40404	Braunau am Inn	no
AT80471	471	AT	Austria	Bregenz Montfortstrasse	2002-01-01	2003-12-31	Traffic		rural	near city	Canyon street: L/H < 1.5	9.745289	47.502777	726	BREGENZ		80207	Bregenz	no
AT72519	072519	AT	Austria	Brixlegg Innweg	1979-10-01		Industrial		rural		Unknown	11.872784	47.430836	520			70506	Brixlegg	no
AT60144	6144	AT	Austria	Bruck an der Mur - Glorietteweg	1985-02-01	1999-06-06	Background		urban		Unknown	15.280847	47.415279	550	BRUCK AN DER MUR				no
AT60180	06180	AT	Austria	Bruck an der Mur Flurgasse	2007-04-04		Background		suburban		Wide street: L/H > 1.5	15.253336	47.409447	485	BRUCK AN DER MUR		60204	Bruck an der Mur	no
AT60192	6192	AT	Austria	Bruck an der Mur West	1999-08-01	2006-12-31	Traffic		suburban		Unknown	15.258619	47.411392	485	BRUCK AN DER MUR				no
AT31403	031403	AT	Austria	Brunn am Gebirge	1993-03-01	2005-12-31	Background		suburban		Unknown	16.283333	48.110832	288	BRUNN AM GEBIRGE				no
AT30402	30402	AT	Austria	Deutsch Wagram	1993-04-01	2002-09-30	Background		rural	near city	Unknown	16.559174	48.298332	160	DEUTSCH WAGRAM		30808	Deutsch-Wagram	no
AT60147	6147	AT	Austria	Deutschlandsberg Frauentalerstraße	1988-11-01	2005-08-31	Background		urban	near city	Unknown	15.228344	46.818333	365	DEUTSCHLANDSBERG				no
AT60195	06195	AT	Austria	Deutschlandsberg Rathausgasse	2005-09-01		Background	suburban	suburban			15.212789	46.813889	368	DEUTSCHLANDSBERG		60302	Deutschlandsberg	no
AT80807	080807	AT	Austria	Dornbirn Stadtstraße	1990-08-01		Background		urban		Wide street: L/H > 1.5	9.744175	47.410835	440	DORNBIRN		80301	Dornbirn	no
AT31701	031701	AT	Austria	Dunkelsteinerwald	1989-12-01		Background	rural	rural	near city	Unknown	15.546679	48.371109	305			31303	Bergern im Dunkelsteinerwald	no
AT2M226	02M226	AT	Austria	Ebenthal Zell	2006-12-01		Background		rural			14.398611	46.608334	430	EBENTHAL				no
AT10001	010001	AT	Austria	Eisenstadt Laschoberstraße	1993-05-01		Background	suburban	suburban		Wide street: L/H > 1.5	16.526674	47.840000	160	EISENSTADT		10101	Eisenstadt	no
AT4S171	04S171	AT	Austria	Enns Eckmayermühle B309	2005-08-24	2007-12-31	Traffic		rural		Wide street: L/H > 1.5	14.433889	48.209724	260	ENNS				no
AT4S165	04S217	AT	Austria	Enns Kristein A1	2003-01-01		Traffic	rural	rural		Highway: average speed vehicles > 80 km/h	14.454169	48.206944	282	ENNS		41005	Enns	no
AT0ENK1	10ENK1	AT	Austria	Enzenkirchen im Sauwald	1998-06-03		Background	rural background	rural	remote		13.671114	48.391670	525			41408	Enzenkirchen	no
AT81919	081919	AT	Austria	Feldkirch Bärenkreuzung	1997-03-01		Traffic		urban		Canyon street: L/H < 1.5	9.596678	47.238888	460	FELDKIRCH		80404	Feldkirch	no
AT81913	81913	AT	Austria	Feldkirch Hirschgraben	1987-10-01	1998-05-29	Traffic		urban		Canyon street: L/H < 1.5	9.596955	47.238613	460	FELDKIRCH				no
AT2FE13	FE13	AT	Austria	Feldkirchen Milesistrasse	1991-12-12	1999-02-18	Traffic		rural		Unknown	14.090838	46.727501	550	FELDKIRCHEN		21002	Feldkirchen in Kärnten	no
AT2KL17	KL17	AT	Austria	Ferlach	1991-10-01	2000-02-03	Background		rural			14.301683	46.529167	460			20405	Ferlach	no
AT30602	602	AT	Austria	Fischamend	1987-11-01	2002-09-05	Background		rural	near city	Unknown	16.627232	48.109444	179			32402	Fischamend	no
AT30202	030202	AT	Austria	Forsthof am Schöpfl	1988-02-01		Background	rural background	rural	regional		15.919448	48.106110	581			30616	Klausen-Leopoldsdorf	no
AT2VL12	VL12	AT	Austria	Fürnitz Bahnhofstrasse	1990-10-01	2001-05-05	Industrial		rural		Wide street: L/H > 1.5	13.811122	46.563889	515			20711	Finkenstein am Faaker See	no
AT60198	06198	AT	Austria	Fürstenfeld	2006-11-01		Background	suburban	suburban			16.078901	47.046944	276	FÜRSTENFELD				no
AT51002	51002	AT	Austria	Gaisberg Zistelalm	1983-12-01	2003-09-30	Background	rural	rural	near city		13.116667	47.798332	1010					no
AT2VL52	02VL52	AT	Austria	Gerlitzen Steinturm	1990-07-05		Background	rural background	rural	regional		13.901963	46.683891	1895			20724	Treffen am Ossiacher See	no
AT60191	06191	AT	Austria	Gratwein	1999-03-01		Industrial		rural			15.325563	47.142223	380			60614	Gratwein	no
AT60164	06164	AT	Austria	Graz Don Bosco	2000-01-01		Traffic		urban		Wide street: L/H > 1.5	15.417789	47.055553	358	GRAZ		60101	Graz	no
AT60036	06036	AT	Austria	Graz Lustbühel	2010-10-01		Background		suburban			15.493610	47.066940	481	GRAZ		60101	Graz	no
AT60160	06160	AT	Austria	Graz Mitte	1989-11-01	2009-12-10	Background		urban		Canyon street: L/H < 1.5	15.438614	47.069721	355	GRAZ				no
AT60172	06172	AT	Austria	Graz Mitte Gries	2010-02-18		Background		urban			15.431670	47.069168	350	GRAZ		60101	Graz	no
AT60138	06138	AT	Austria	Graz Nord	1978-01-01		Background	suburban	suburban		Unknown	15.414180	47.095554	348	GRAZ		60101	Graz	no
AT60161	6161	AT	Austria	Graz Ost	1989-12-01	2004-12-31	Background		suburban		Unknown	15.471113	47.060555	366	GRAZ				no
AT60171	06171	AT	Austria	Graz Ost Petersgasse	2006-01-01		Traffic		urban		Wide street: L/H > 1.5	15.466125	47.059444	362	GRAZ		60101	Graz	no
AT60020	06020	AT	Austria	Graz Platte	1990-04-01	2010-09-15	Background	suburban	suburban		Unknown	15.470558	47.113056	661	GRAZ				no
AT60018	06018	AT	Austria	Graz Schlossberg	1990-04-01		Background	suburban	urban		Unknown	15.438614	47.077221	450	GRAZ		60101	Graz	no
AT60140	6140	AT	Austria	Graz Süd Herrgottwiesgasse	1987-01-01	2003-04-23	Background		suburban		Wide street: L/H > 1.5	15.434736	47.043056	345	GRAZ				no
AT60170	06170	AT	Austria	Graz Süd Tiergartenweg	2003-04-26		Background	urban	urban		Unknown	15.434175	47.041943	345	GRAZ		60101	Graz	no
AT60162	6162	AT	Austria	Graz Südwest	1989-12-01	1999-12-14	Background		suburban		Canyon street: L/H < 1.5	15.400000	47.033054	360	GRAZ				no
AT60139	06139	AT	Austria	Graz West	1987-02-01		Background		suburban		Unknown	15.404169	47.069721	370	GRAZ		60101	Graz	no
AT60196	06196	AT	Austria	Grebenzen	2006-07-25		Background		rural	regional		14.330011	47.040276	1648					no
AT30406	30406	AT	Austria	Großenzersdorf Friedhof	1990-02-01	2004-08-10	Background		rural	near city	Unknown	16.550560	48.195000	155	GROSSENZERSDORF		30821	Groß-Enzersdorf	no
AT30407	030407	AT	Austria	Großenzersdorf Glinzendorf	2004-08-10		Background	rural	rural	near city		16.636948	48.236668	150	GROSSENZERSDORF		30819	Glinzendorf	no
AT32201	32201	AT	Austria	Großgöttfritz	1991-11-01	2000-11-23	Background		rural			15.166667	48.530834	710					no
AT60157	06157	AT	Austria	Grundlsee	1990-01-01		Background	rural background	rural	remote		13.796679	47.616665	980			61207	Bad Aussee	no
AT4S108	04S108	AT	Austria	Grünbach bei Freistadt	1986-01-01		Background	rural background	rural	regional	Wide street: L/H > 1.5	14.574728	48.531113	918			40602	Grünbach	no
AT30401	030401	AT	Austria	Gänserndorf	1986-01-01		Background	suburban	suburban		Unknown	16.730570	48.334721	161	GÄNSERNDORF		30817	Gänserndorf	no
AT72223	072223	AT	Austria	Gärberbach - Brennerautobahn	1995-07-01		Traffic		rural		Highway: average speed vehicles > 80 km/h	11.390839	47.240002	680			70332	Natters	no
AT4S169	04S169	AT	Austria	Haid - Ansfelden	2004-03-17	2005-08-18	Traffic		suburban		Wide street: L/H > 1.5	14.251120	48.200000	280	ANSFELDEN				no
AT30301	030301	AT	Austria	Hainburg	1986-01-12		Background	rural	suburban		Wide street: L/H > 1.5	16.961123	48.143890	165	HAINBURG		30710	Hainburg a.d. Donau	no
AT72209	72209	AT	Austria	Hall i.T. Münzergasse	1980-10-01	2006-12-31	Traffic		urban		Wide street: L/H > 1.5	11.503336	47.276390	570	HALL IN TIROL				no
AT72227	072227	AT	Austria	Hall in Tirol - Sportplatz	2006-08-01		Traffic		suburban		Highway: average speed vehicles > 80 km/h	11.512511	47.278057	560	HALL IN TIROL		70354	Hall in Tirol	no
AT52300	052300	AT	Austria	Hallein A10 Tauernautobahn	2003-01-01		Traffic		suburban		Highway: average speed vehicles > 80 km/h	13.108062	47.691113	440	HALLEIN		50205	Hallein	no
AT52000	052000	AT	Austria	Hallein B159	1978-01-06		Traffic		urban		Wide street: L/H > 1.5	13.101964	47.683056	440	HALLEIN		50205	Hallein	no
AT52015	52015	AT	Austria	Hallein Gamp	1994-09-01	2003-12-31	Industrial		suburban		Unknown	13.113903	47.672779	440	HALLEIN				no
AT52100	052100	AT	Austria	Hallein Winterstall	1985-01-01		Industrial	rural	rural		Unknown	13.105840	47.666946	650	HALLEIN		50205	Hallein	no
AT60188	06188	AT	Austria	Hartberg Wiesengasse	1996-07-11	2010-01-24	Background	suburban	suburban		Canyon street: L/H < 1.5	15.975010	47.278610	330	HARTBERG				no
AT60179	06179	AT	Austria	Hartberg Zentrum	2010-01-30		Background	suburban	suburban			15.971944	47.282776	349	HARTBERG				no
AT53055	053055	AT	Austria	Haunsberg	1985-11-01		Background	rural	rural	regional	Unknown	13.015847	47.972778	730			50325	Nußdorf am Haunsberg	no
AT30502	030502	AT	Austria	Heidenreichstein Thaures	1989-03-01		Background	rural	rural	regional	Unknown	15.046679	48.878609	560			30916	Heidenreichstein	no
AT72710	072710	AT	Austria	Heiterwang	2003-01-01		Traffic		rural		Wide street: L/H > 1.5	10.744175	47.447781	993	HEITERWANG		70814	Heiterwang	no
AT2HE19	HE19	AT	Austria	Hermagor Gailtalstrasse	1991-05-03	2001-05-07	Traffic		rural		Wide street: L/H > 1.5	13.373061	46.624722	600	HERMAGOR		20305	Hermagor-Pressegger See	no
AT30603	030603	AT	Austria	Himberg	1993-03-01		Background	rural	rural	near city	Unknown	16.433332	48.086109	172	HIMBERG		32406	Himberg	no
AT0HBG1	HBG1	AT	Austria	Hochburg-Ach	1993-01-03	1998-05-31	Background		rural			12.866947	48.148056	463	HOCHBURG-ACH		40414	Hochburg-Ach	no
AT60137	06137	AT	Austria	Hochgössnitz	1988-01-01		Background	rural	rural	regional		15.016666	47.059166	900			61605	Gößnitz	no
AT60189	06189	AT	Austria	Hochwurzen	1996-09-05		Background	rural background	rural	remote		13.633333	47.358334	1850			61232	Pichl-Preunegg	no
AT80709	080709	AT	Austria	Höchst Gemeindeamt	2003-03-26		Traffic		suburban		Wide street: L/H > 1.5	9.640284	47.458889	405	HÖCHST		80217	Höchst	no
AT72705	072705	AT	Austria	Höfen Lärchbichl	1990-06-01		Background	rural	rural	regional	Wide street: L/H > 1.5	10.682237	47.470001	880	HÖFEN		70816	Höfen	no
AT0ILL1	10ILL1	AT	Austria	Illmitz	1978-05-01		Background	rural background	rural	remote		16.766403	47.770000	117					yes
AT72311	072311	AT	Austria	Imst Imsterau	2001-12-05	2010-12-31	Traffic		suburban		Wide street: L/H > 1.5	10.736114	47.218056	635	IMST				no
AT72315	072315	AT	Austria	Imst Inntalautobahn A12	2007-11-01		Traffic		rural		Highway: average speed vehicles > 80 km/h	10.735578	47.216949	715	IMST		70203	Imst	no
AT72123	072123	AT	Austria	Innsbruck Nordkette	1985-03-01		Background	rural	rural	regional		11.378067	47.306110	1910			70101	Innsbruck	no
AT72126	72126	AT	Austria	Innsbruck Olympisches Dorf	1977-01-01	1999-01-01	Background		suburban		Canyon street: L/H < 1.5	11.441953	47.273056	570	INNSBRUCK				no
AT72106	072106	AT	Austria	Innsbruck Reichenau	1987-12-01		Traffic	urban	urban		Wide street: L/H > 1.5	11.417789	47.271667	570	INNSBRUCK		70101	Innsbruck	no
AT72113	072113	AT	Austria	Innsbruck Sadrach	1992-06-01		Background	suburban	suburban		Wide street: L/H > 1.5	11.366667	47.271111	670	INNSBRUCK		70101	Innsbruck	no
AT72110	072110	AT	Austria	Innsbruck Zentrum Fallmerayerstr.	1988-11-01		Traffic		urban		Canyon street: L/H < 1.5	11.393064	47.263054	580	INNSBRUCK		70101	Innsbruck	no
AT30801	030801	AT	Austria	Irnfritz	1989-07-01		Background	rural	rural	regional	Unknown	15.500280	48.724445	556			31110	Irnfritz-Messern	no
AT60118	06118	AT	Austria	Judenburg	1973-01-01		Background	suburban	suburban		Unknown	14.677508	47.179447	715	JUDENBURG		60806	Judenburg	no
AT60136	06136	AT	Austria	Judendorf Süd	1980-01-01		Industrial		rural			15.355281	47.119442	375			60622	Judendorf-Straßengel	no
AT60145	06145	AT	Austria	Kapfenberg	1973-01-01		Background		urban		Unknown	15.290284	47.445557	517	KAPFENBERG		60209	Kapfenberg	no
AT72218	072218	AT	Austria	Karwendel West	1987-09-01	2010-12-31	Background	rural background	rural	remote		11.228344	47.342778	1730					no
AT32604	032604	AT	Austria	Kematen	2009-05-08		Background		rural	regional		14.772220	48.044998	750	KEMATEN		30517	Kematen an der Ybbs	no
AT60184	6184	AT	Austria	Kindberg-Wartberg	1994-08-01	2004-10-31	Background		rural	regional	Unknown	15.486392	47.514446	660			61316	Wartberg im Mürztal	no
AT10003	010003	AT	Austria	Kittsee	1999-06-01		Background	suburban	suburban	near city	Highway: average speed vehicles > 80 km/h	17.071392	48.109444	138	BRATISLAVA		10711	Kittsee	no
AT2KA11	02KA11	AT	Austria	Klagenfurt Koschatstrasse	1990-09-01	2011-01-17	Traffic	urban	urban		Wide street: L/H > 1.5	14.298347	46.626111	440	KLAGENFURT				no
AT2KA41	02KA41	AT	Austria	Klagenfurt Kreuzbergl	1990-05-08		Background	suburban	suburban			14.289173	46.629719	550	KLAGENFURT		20101	Klagenfurt am Wörthersee	no
AT2KA61	02KA61	AT	Austria	Klagenfurt Nordumfahrung A2	2008-05-01		Traffic		suburban		Highway: average speed vehicles > 80 km/h	14.268910	46.652779	455	KLAGENFURT		20101	Klagenfurt am Wörthersee	no
AT2KA71	02KA71	AT	Austria	Klagenfurt Sterneckstraße	2011-01-01		Background		urban			14.299167	46.626667	445	KLAGENFURT				no
AT2KA21	02KA21	AT	Austria	Klagenfurt Völkermarkterstrasse	1993-12-22		Traffic		urban		Wide street: L/H > 1.5	14.316947	46.619999	445	KLAGENFURT		20101	Klagenfurt am Wörthersee	no
AT2F202	02F202	AT	Austria	Klein St. Paul - Pemberg	1995-12-14		Industrial	rural	rural		Unknown	14.528900	46.841942	810			20512	Kappel am Krappfeld	no
AT30599	030599	AT	Austria	Klosterneuburg Wiener Straße	2006-08-10		Traffic		urban		Wide street: L/H > 1.5	16.326399	48.306942	192	KLOSTERNEUBURG				no
AT30601	030601	AT	Austria	Klosterneuburg Wisentgasse	1989-09-09		Background	suburban	suburban		Unknown	16.304724	48.301388	200	KLOSTERNEUBURG				no
AT60185	06185	AT	Austria	Klöch bei Bad Radkersburg	1995-05-01		Background	rural background	rural	regional	Unknown	15.956672	46.752777	300			61509	Klöch	no
AT60115	6115	AT	Austria	Knittelfeld Kindergarten	1973-01-01	2001-12-05	Background		urban		Wide street: L/H > 1.5	14.830011	47.218056	635	KNITTELFELD				no
AT60119	06119	AT	Austria	Knittelfeld Parkstraße	2001-12-05		Background		urban		Unknown	14.824450	47.210278	635	KNITTELFELD		60907	Knittelfeld	no
AT30103	030103	AT	Austria	Kollmitzberg	1987-01-11		Background	rural background	rural	regional		14.866667	48.179722	465			30503	Ardagger	no
AT30901	030901	AT	Austria	Korneuburg	1986-08-01	2002-09-06	Background		urban		Unknown	16.334723	48.349998	170	KORNEUBURG				no
AT72538	072538	AT	Austria	Kramsach Angerberg	1990-07-01		Background	rural	rural	regional	Unknown	11.910563	47.459167	600			70512	Kramsach	no
AT32501	032501	AT	Austria	Krems	1985-11-01		Background	suburban	urban		Unknown	15.620280	48.409447	190	KREMS		30101	Krems an der Donau	no
AT72547	072547	AT	Austria	Kufstein Festung	1994-04-01		Background	suburban	suburban		Unknown	12.169725	47.581944	550	KUFSTEIN		70513	Kufstein	no
AT72552	072552	AT	Austria	Kufstein Praxmarerstraße	2003-11-11		Traffic		urban		Wide street: L/H > 1.5	12.173617	47.586388	505	KUFSTEIN		70513	Kufstein	no
AT72539	72539	AT	Austria	Kufstein Zentrum Franz Josefs Platz	1990-07-01	2003-11-11	Traffic		urban		Wide street: L/H > 1.5	12.172228	47.584442	500	KUFSTEIN				no
AT72550	072550	AT	Austria	Kundl A12	2006-11-01		Traffic		rural		Highway: average speed vehicles > 80 km/h	11.958342	47.468891	510			70514	Kundl	no
AT60106	06106	AT	Austria	Köflach	1984-01-01		Background		urban		Unknown	15.079178	47.061665	445	KÖFLACH		61609	Köflach	no
AT72617	72617	AT	Austria	Landeck Gerberbrücke	1993-12-01	2002-01-20	Traffic		urban		Canyon street: L/H < 1.5	10.566947	47.137779	817	LANDECK				no
AT30903	030903	AT	Austria	Langenzersdorf	1993-03-01	2002-10-26	Background		rural	near city	Unknown	16.361389	48.303055	160	LANGENZERSDORF				no
AT60197	06197	AT	Austria	Leibnitz	2006-11-08		Background		suburban			15.540562	46.778332	270	LEIBNITZ		61022	Leibnitz	no
AT4S418	04S418	AT	Austria	Lenzing	1982-03-01		Industrial	rural	rural		Wide street: L/H > 1.5	13.600842	47.971947	510	LENZING		41713	Lenzing	no
AT60142	06142	AT	Austria	Leoben Donawitz	1985-11-01		Industrial		urban		Unknown	15.077508	47.376110	555	LEOBEN		61108	Leoben	no
AT60141	06141	AT	Austria	Leoben Göß	1985-01-01		Background		urban		Unknown	15.098903	47.359444	554	LEOBEN		61108	Leoben	no
AT60143	06143	AT	Austria	Leoben Zentrum	1981-01-01		Background	urban	urban		Wide street: L/H > 1.5	15.090005	47.383053	540	LEOBEN		61108	Leoben	no
AT72910	072910	AT	Austria	Lienz Amlacherkreuzung	1998-01-01		Traffic		urban		Wide street: L/H > 1.5	12.765570	46.828056	670	LIENZ		70716	Lienz	no
AT72906	72906	AT	Austria	Lienz Dolomitenkreuzung	1992-02-01	1998-12-31	Traffic		urban		Unknown	12.761400	46.828331	670	LIENZ				no
AT72908	072908	AT	Austria	Lienz Sportzentrum	1996-04-01	2010-09-30	Background	suburban	suburban		Unknown	12.765569	46.825000	670	LIENZ				no
AT72912	072912	AT	Austria	Lienz Tristacher See Straße	2009-10-01		Background	suburban	suburban			12.765831	46.819168	681	LIENZ		70716	Lienz	no
AT60182	06182	AT	Austria	Liezen	1993-04-01		Background	suburban	suburban	regional	Unknown	14.243620	47.567223	665	LIEZEN		61223	Liezen	no
AT4S415	04S415	AT	Austria	Linz 24er Turm	1979-07-01		Traffic		urban		Highway: average speed vehicles > 80 km/h	14.297792	48.323334	255	LINZ		40101	Linz	no
AT4BERN	04BERN	AT	Austria	Linz Bernaschekplatz	2000-01-01		Traffic		urban		Wide street: L/H > 1.5	14.281403	48.310555	260	LINZ		40101	Linz	no
AT4S425	04s425	AT	Austria	Linz Freinberg	1987-05-01	2003-07-10	Background		suburban		Unknown	14.267509	48.297222	380	LINZ		40101	Linz	no
AT4S401	04S401	AT	Austria	Linz Hauserhof	1977-02-01	2000-12-31	Background		urban		Wide street: L/H > 1.5	14.291395	48.291943	290	LINZ				no
AT4S412	04S412	AT	Austria	Linz Kleinmünchen	1979-07-01		Background		suburban		Wide street: L/H > 1.5	14.310842	48.254444	258	LINZ		40101	Linz	no
AT4S416	04S416	AT	Austria	Linz Neue Welt	1982-01-03		Background	urban	urban		Wide street: L/H > 1.5	14.314736	48.274445	265	LINZ		40101	Linz	no
AT4S414	04S414	AT	Austria	Linz ORF-Zentrum	1979-07-01	2007-12-31	Background		urban		Wide street: L/H > 1.5	14.301403	48.297501	263	LINZ				no
AT4S431	04S431	AT	Austria	Linz Römerberg	1997-10-01		Traffic		urban		Wide street: L/H > 1.5	14.283070	48.303055	262	LINZ		40101	Linz	no
AT4S184	04S184	AT	Austria	Linz Stadtpark	2008-10-29		Background		urban			14.297501	48.306110	260	LINZ				no
AT4S131	04S131	AT	Austria	Linz Tankhafen	2000-02-20		Industrial		urban			14.337502	48.294445	254	LINZ		40101	Linz	no
AT4S403	04S403	AT	Austria	Linz Urfahr	1977-01-02	2007-12-31	Traffic		urban		Wide street: L/H > 1.5	14.280833	48.315556	269	LINZ				no
AT4S413	04S413	AT	Austria	Linz Ursulinenhof	1979-01-07	1997-10-31	Background		urban		Canyon street: L/H < 1.5	14.291676	48.303055	262	LINZ				no
AT80706	080706	AT	Austria	Lustenau Wiesenrain	1987-09-01		Background	suburban	urban		Canyon street: L/H < 1.5	9.652781	47.410835	410	LUSTENAU		80303	Lustenau	no
AT80710	080710	AT	Austria	Lustenau Zollamt	2003-05-15		Traffic		suburban		Wide street: L/H > 1.5	9.649458	47.432503	410	LUSTENAU		80303	Lustenau	no
AT10007	010007	AT	Austria	Mannersdorf an der Rabnitz	2011-05-01		Background		rural	remote		16.530000	47.430000	240	MANNERSDORF AN DER RABNITZ				no
AT32702	032702	AT	Austria	Mannswörth A4	1989-08-01		Traffic	suburban	suburban		Highway: average speed vehicles > 80 km/h	16.511667	48.150833	159	SCHWECHAT				no
AT32792	032792	AT	Austria	Mannswörth Freizeitgelände	2002-04-14	2006-10-11	Industrial		suburban			16.523611	48.145557	155	SCHWECHAT				no
AT60156	06156	AT	Austria	Masenberg	1989-10-01		Background	rural background	rural	remote		15.881958	47.348053	1137			60723	Pöllauberg	no
AT31301	031301	AT	Austria	Mistelbach	1988-01-04		Background	suburban	suburban	near city		16.580570	48.578609	250	MISTELBACH		31633	Mistelbach	no
AT31401	031401	AT	Austria	Mödling	1985-09-01		Background	suburban	suburban		Unknown	16.302244	48.086109	210	MÖDLING		31717	Mödling	no
AT60194	06194	AT	Austria	Mürzzuschlag Roseggerpark	2004-10-13		Background	suburban	suburban		Canyon street: L/H < 1.5	15.673061	47.604721	679	MÜRZZUSCHLAG		61311	Mürzzuschlag	no
AT31905	031905	AT	Austria	Neusiedl im Tullnerfeld	1983-01-01	2011-12-31	Background		rural	near city	Unknown	15.966667	48.322222	182					no
AT60193	06193	AT	Austria	Niklasdorf	2002-10-14		Industrial		suburban	near city	Unknown	15.146955	47.396114	510	NIKLASDORF		61110	Niklasdorf	no
AT2SP20	02SP20	AT	Austria	Oberdrauburg Bundesstraße	1992-01-01		Traffic	rural	rural		Wide street: L/H > 1.5	12.972783	46.748055	612	OBERDRAUBURG		20625	Oberdrauburg	no
AT10002	010002	AT	Austria	Oberschützen	2008-10-22		Background	rural	rural	regional	Canyon street: L/H < 1.5	16.193064	47.304167	330					no
AT2SP10	02SP10	AT	Austria	Obervellach Schulzentrum	1991-08-01		Background	rural	rural	regional	Unknown	13.195567	46.935558	686			20627	Obervellach	no
AT11002	011002	AT	Austria	Oberwart	1993-07-01	2008-10-20	Background		rural	regional		16.193054	47.304165	330					no
AT31502	031502	AT	Austria	Payerbach	1993-06-01		Background	rural	rural	regional		15.854726	47.670002	890			31821	Payerbach	no
AT60183	06183	AT	Austria	Peggau	1993-05-01		Industrial		rural		Unknown	15.346955	47.205833	410			60632	Peggau	no
AT60105	6105	AT	Austria	Piber	1983-08-01	2006-05-03	Background		rural	regional	Unknown	15.078889	47.081665	585	PIBER				no
